Event ID	SimConnect Name	Description	Multiplayer
KEY_THROTTLE_FULL	THROTTLE_FULL	Set throttles max	Shared Cockpit
KEY_THROTTLE_INCR	THROTTLE_INCR	Increment throttles	Shared Cockpit
KEY_THROTTLE_INCR_SMALL	THROTTLE_INCR_SMALL	Increment throttles small	Shared Cockpit
KEY_THROTTLE_DECR	THROTTLE_DECR	Decrement throttles	Shared Cockpit
KEY_THROTTLE_DECR_SMALL	THROTTLE_DECR_SMALL	Decrease throttles small	Shared Cockpit
KEY_THROTTLE_CUT	THROTTLE_CUT	Set throttles to idle	Shared Cockpit
KEY_INCREASE_THROTTLE	INCREASE_THROTTLE	Increment throttles	Shared Cockpit
KEY_DECREASE_THROTTLE	DECREASE_THROTTLE	Decrement throttles	Shared Cockpit
KEY_THROTTLE_SET	THROTTLE_SET	Set throttles exactly (0- 16383)	Shared Cockpit
KEY_AXIS_THROTTLE_SET	AXIS_THROTTLE_SET	Set throttles (0- 16383)	Shared Cockpit (Pilot only, transmitted to Co-pilot if in a helicopter, not-transmitted otherwise).
KEY_THROTTLE1_SET	THROTTLE1_SET	Set throttle 1 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE2_SET	THROTTLE2_SET	Set throttle 2 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE3_SET	THROTTLE3_SET	Set throttle 3 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE4_SET	THROTTLE4_SET	Set throttle 4 exactly (0 to 16383)	Shared Cockpit
KEY_THROTTLE1_FULL	THROTTLE1_FULL	Set throttle 1 max	Shared Cockpit
KEY_THROTTLE1_INCR	THROTTLE1_INCR	Increment throttle 1	Shared Cockpit
KEY_THROTTLE1_INCR_SMALL	THROTTLE1_INCR_SMALL	Increment throttle 1 small	Shared Cockpit
KEY_THROTTLE1_DECR	THROTTLE1_DECR	Decrement throttle 1	Shared Cockpit
KEY_THROTTLE1_CUT	THROTTLE1_CUT	Set throttle 1 to idle	Shared Cockpit
KEY_THROTTLE2_FULL	THROTTLE2_FULL	Set throttle 2 max	Shared Cockpit
KEY_THROTTLE2_INCR	THROTTLE2_INCR	Increment throttle 2	Shared Cockpit
KEY_THROTTLE2_INCR_SMALL	THROTTLE2_INCR_SMALL	Increment throttle 2 small	Shared Cockpit
KEY_THROTTLE2_DECR	THROTTLE2_DECR	Decrement throttle 2	Shared Cockpit
KEY_THROTTLE2_CUT	THROTTLE2_CUT	Set throttle 2 to idle	Shared Cockpit
KEY_THROTTLE3_FULL	THROTTLE3_FULL	Set throttle 3 max	Shared Cockpit
KEY_THROTTLE3_INCR	THROTTLE3_INCR	Increment throttle 3	Shared Cockpit
KEY_THROTTLE3_INCR_SMALL	THROTTLE3_INCR_SMALL	Increment throttle 3 small	Shared Cockpit
KEY_THROTTLE3_DECR	THROTTLE3_DECR	Decrement throttle 3	Shared Cockpit
KEY_THROTTLE3_CUT	THROTTLE3_CUT	Set throttle 3 to idle	Shared Cockpit
KEY_THROTTLE4_FULL	THROTTLE4_FULL	Set throttle 1 max	Shared Cockpit
KEY_THROTTLE4_INCR	THROTTLE4_INCR	Increment throttle 4	Shared Cockpit
KEY_THROTTLE4_INCR_SMALL	THROTTLE4_INCR_SMALL	Increment throttle 4 small	Shared Cockpit
KEY_THROTTLE4_DECR	THROTTLE4_DECR	Decrement throttle 4	Shared Cockpit
KEY_THROTTLE4_CUT	THROTTLE4_CUT	Set throttle 4 to idle	Shared Cockpit
KEY_THROTTLE_10	THROTTLE_10	Set throttles to 10%	Shared Cockpit
KEY_THROTTLE_20	THROTTLE_20	Set throttles to 20%	Shared Cockpit
KEY_THROTTLE_30	THROTTLE_30	Set throttles to 30%	Shared Cockpit
KEY_THROTTLE_40	THROTTLE_40	Set throttles to 40%	Shared Cockpit
KEY_THROTTLE_50	THROTTLE_50	Set throttles to 50%	Shared Cockpit
KEY_THROTTLE_60	THROTTLE_60	Set throttles to 60%	Shared Cockpit
KEY_THROTTLE_70	THROTTLE_70	Set throttles to 70%	Shared Cockpit
KEY_THROTTLE_80	THROTTLE_80	Set throttles to 80%	Shared Cockpit
KEY_THROTTLE_90	THROTTLE_90	Set throttles to 90%	Shared Cockpit
KEY_AXIS_THROTTLE1_SET	AXIS_THROTTLE1_SET	Set throttle 1 exactly (-16383 - +16383)	Shared Cockpit
KEY_AXIS_THROTTLE2_SET	AXIS_THROTTLE2_SET	Set throttle 2 exactly (-16383 - +16383)	Shared Cockpit
KEY_AXIS_THROTTLE3_SET	AXIS_THROTTLE3_SET	Set throttle 3 exactly (-16383 - +16383)	Shared Cockpit
KEY_AXIS_THROTTLE4_SET	AXIS_THROTTLE4_SET	Set throttle 4 exactly (-16383 - +16383)	Shared Cockpit
KEY_THROTTLE1_DECR_SMALL	THROTTLE1_DECR_SMALL	Decrease throttle 1 small	Shared Cockpit
KEY_THROTTLE2_DECR_SMALL	THROTTLE2_DECR_SMALL	Decrease throttle 2 small	Shared Cockpit
KEY_THROTTLE3_DECR_SMALL	THROTTLE3_DECR_SMALL	Decrease throttle 3 small	Shared Cockpit
KEY_THROTTLE4_DECR_SMALL	THROTTLE4_DECR_SMALL	Decrease throttle 4 small	Shared Cockpit
KEY_PROP_PITCH_DECR_SMALL	PROP_PITCH_DECR_SMALL	Decrease prop levers small	Shared Cockpit
KEY_PROP_PITCH1_DECR_SMALL	PROP_PITCH1_DECR_SMALL	Decrease prop lever 1 small	Shared Cockpit
KEY_PROP_PITCH2_DECR_SMALL	PROP_PITCH2_DECR_SMALL	Decrease prop lever 2 small	Shared Cockpit
KEY_PROP_PITCH3_DECR_SMALL	PROP_PITCH3_DECR_SMALL	Decrease prop lever 3 small	Shared Cockpit
KEY_PROP_PITCH4_DECR_SMALL	PROP_PITCH4_DECR_SMALL	Decrease prop lever 4 small	Shared Cockpit
KEY_MIXTURE1_RICH	MIXTURE1_RICH	Set mixture lever 1 to max rich	Shared Cockpit
KEY_MIXTURE1_INCR	MIXTURE1_INCR	Increment mixture lever 1	Shared Cockpit
KEY_MIXTURE1_INCR_SMALL	MIXTURE1_INCR_SMALL	Increment mixture lever 1 small	Shared Cockpit
KEY_MIXTURE1_DECR	MIXTURE1_DECR	Decrement mixture lever 1	Shared Cockpit
KEY_MIXTURE1_LEAN	MIXTURE1_LEAN	Set mixture lever 1 to max lean	Shared Cockpit
